lon1,lat1,dist1,lon2,lat2,dist2,speed
20.9568767,52.2608317,Żoliborz,20.957745,52.2604583,Żoliborz,15.294384687994285
20.9787383,52.2620573,Żoliborz,20.9787866,52.2621773,Żoliborz,4.49748726813936
20.9681308,52.2719838,Żoliborz,20.9681163,52.2719818,Żoliborz,0.24272609662675018
20.9682495,52.269591,Żoliborz,20.9682455,52.2695931,Żoliborz,0.1291037554395131
20.981686,52.275299,Żoliborz,20.982622,52.275867,Żoliborz,20.180386516772575
20.968252,52.271873,Żoliborz,20.968252,52.271877,Żoliborz,0.16012069449200972
20.984577,52.268593,Żoliborz,20.984329,52.268528,Żoliborz,5.507486396920943
20.986584,52.278355,Żoliborz,20.985876,52.277878,Żoliborz,25.792905548630205
20.981379,52.280872,Żoliborz,20.984138,52.282112,Żoliborz,69.86697305008295
20.9687064,52.2719936,Żoliborz,20.968704,52.2719974,Żoliborz,0.13589952828034635
20.957914,52.260395,Żoliborz,20.958027,52.260353,Żoliborz,2.4916604616257767
20.969,52.2562,Żoliborz,20.9687,52.2563,Żoliborz,5.580243549928172
20.987869,52.267246,Żoliborz,20.987871,52.267242,Żoliborz,0.16744901784868416
20.990896,52.26395,Żoliborz,20.990173,52.264771,Żoliborz,24.889459054921492
20.96966,52.275082,Żoliborz,20.967428,52.273891,Żoliborz,72.53813628960717
20.9676047,52.2717034,Żoliborz,20.9675937,52.2716967,Żoliborz,0.29244333256337096
20.9746448,52.2712571,Żoliborz,20.9758178,52.2710646,Żoliborz,19.83236025289037
20.962021,52.258766,Żoliborz,20.962,52.258793,Żoliborz,1.1970466311040895
20.971985,52.2761,Żoliborz,20.974083,52.277203,Żoliborz,42.34320551966862
20.968561,52.272114,Żoliborz,20.968554,52.272114,Żoliborz,0.15587692859220495
21.002106,52.26732,Żoliborz,21.0031434,52.26592,Żoliborz,55.941342373798534
20.959612,52.267818,Żoliborz,20.959572,52.267876,Żoliborz,2.520061905047545
20.977415,52.266453,Żoliborz,20.978525,52.266739,Żoliborz,29.504543743979752
20.978233,52.279675,Żoliborz,20.976988,52.279083,Żoliborz,38.617386561554255
20.9716176,52.2644716,Żoliborz,20.9716336,52.2644648,Żoliborz,0.4772308217636649
20.9941025,52.259465,Żoliborz,20.9941026,52.2594771,Żoliborz,0.48437129743318724
20.971683,52.264398,Żoliborz,20.969891,52.264943,Żoliborz,24.512090833629085
20.957745,52.2604583,Żoliborz,20.9578917,52.2604083,Żoliborz,2.57128278416377
20.9787866,52.2621773,Żoliborz,20.9788108,52.262174,Żoliborz,0.5522255928796396
20.9681163,52.2719818,Żoliborz,20.9681098,52.2719868,Żoliborz,0.25575499748397906
20.9682455,52.2695931,Żoliborz,20.9682515,52.2696013,Żoliborz,0.3596510937218935
20.969439,52.271848,Żoliborz,20.968408,52.27147,Żoliborz,14.72032314301339
20.968252,52.271877,Żoliborz,20.968254,52.271877,Żoliborz,0.044536503446633624
20.984329,52.268528,Żoliborz,20.983288,52.268242,Żoliborz,27.95338427787006
20.985876,52.277878,Żoliborz,20.984617,52.277092,Żoliborz,44.0543681533225
20.984138,52.282112,Żoliborz,20.986057,52.282986,Żoliborz,53.261799406666356
20.968704,52.2719974,Żoliborz,20.9686946,52.2719982,Żoliborz,0.1788226341721263
20.958027,52.260353,Żoliborz,20.958817,52.260067,Żoliborz,22.48852448617708
20.9687,52.2563,Żoliborz,20.9686,52.2564,Żoliborz,3.610343419367282
20.987871,52.267242,Żoliborz,20.987852,52.267277,Żoliborz,0.8684405996677425
20.990173,52.264771,Żoliborz,20.98951,52.265453,Żoliborz,28.879163303853616
20.967428,52.273891,Żoliborz,20.9650819,52.2729051,Żoliborz,49.79487591247779
20.9675937,52.2716967,Żoliborz,20.9675962,52.2716972,Żoliborz,0.06442584195989838
20.962,52.258793,Żoliborz,20.962004,52.258785,Żoliborz,0.3044577306749732
20.985003,52.270351,Żoliborz,20.985384,52.269753,Żoliborz,14.273940137351136
